train_number,n_stops,total_distance_km,avg_km_per_stop,n_skip_segments,stations_skipped
54243,4,69.2,23.1,0,0
55043,14,69.2,5.3,0,0
54239,4,69.2,23.1,0,0
53138,12,69.2,6.3,0,0
15019,13,69.2,5.8,0,0
05697,11,69.1,6.9,0,0
52461,16,69.0,4.6,0,0
43851,32,69.0,2.2,0,0
51766,11,68.9,6.9,0,0
51764,11,68.9,6.9,0,0
51904,17,68.8,4.3,0,0
14324,17,68.8,4.3,0,0
57486,22,68.6,3.3,0,0
43806,28,68.6,2.5,0,0
54788,10,68.5,7.6,0,0
43501,29,68.2,2.4,0,0
50107,8,68.1,9.7,0,0
53017,16,68.1,4.5,0,0
43801,29,68.1,2.4,0,0
43803,29,68.1,2.4,0,0
04742,6,67.9,13.6,0,0
58846,6,67.9,13.6,0,0
59165,12,67.8,6.2,0,0
59115,12,67.8,6.2,0,0
57606,18,67.7,4.0,0,0
17242,19,67.7,3.8,0,0
53018,20,67.6,3.6,0,0
53012,20,67.6,3.6,0,0
51907,13,67.5,5.6,0,0
53010,17,67.5,4.2,0,0
52234,13,67.4,5.6,0,0
53016,16,67.4,4.5,0,0
53006,15,67.4,4.8,0,0
53014,18,67.3,4.0,0,0
59380,7,67.2,11.2,0,0
57259,18,67.2,4.0,0,0
52972,13,67.2,5.6,0,0
38462,24,67.0,2.9,0,0
38428,24,67.0,2.9,0,0
38470,24,67.0,2.9,0,0
38424,24,67.0,2.9,0,0
38416,24,67.0,2.9,0,0
38448,24,67.0,2.9,0,0
38464,24,67.0,2.9,0,0
38444,24,67.0,2.9,0,0
38434,24,67.0,2.9,0,0
38458,24,67.0,2.9,0,0
38460,24,67.0,2.9,0,0
38468,24,67.0,2.9,0,0
38442,24,67.0,2.9,0,0
54001,19,67.0,3.7,0,0
38418,24,67.0,2.9,0,0
38450,24,67.0,2.9,0,0
38420,24,67.0,2.9,0,0
58101,6,66.9,13.4,0,0
51908,13,66.6,5.6,0,0
55308,11,66.3,6.6,0,0
56001,28,66.2,2.5,0,0
56002,28,66.2,2.5,0,0
43401,28,66.2,2.5,0,0
43408,28,66.2,2.5,0,0
58653,10,66.2,7.4,0,0
63219,10,66.2,7.4,0,0
38413,24,66.1,2.9,0,0
38469,24,66.1,2.9,0,0
38405,24,66.1,2.9,0,0
38401,24,66.1,2.9,0,0
38455,24,66.1,2.9,0,0
38467,24,66.1,2.9,0,0
38419,24,66.1,2.9,0,0
38463,24,66.1,2.9,0,0
38403,24,66.1,2.9,0,0
38429,24,66.1,2.9,0,0
38411,24,66.1,2.9,0,0
