station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
CGKR,CHANDAGIRIKOPAL,Karnataka,BDRL,BYADARAHALLI,Karnataka,41,3.0
BDRL,BYADARAHALLI,Karnataka,Y,YELIYUR,Karnataka,41,8.5
Y,YELIYUR,Karnataka,MYA,MANDYA,Karnataka,41,7.6
MYA,MANDYA,Karnataka,HNK,HANAKERE,Karnataka,41,9.8
HNK,HANAKERE,Karnataka,MAD,MADDUR,Karnataka,41,8.7
MAD,MADDUR,Karnataka,SET,SETTIHALLY,Karnataka,41,10.9
SET,SETTIHALLY,Karnataka,CPT,CHANNAPATNA,Karnataka,41,6.9
CPT,CHANNAPATNA,Karnataka,RMGM,RAMANAGARAM,Karnataka,41,10.9
RMGM,RAMANAGARAM,Karnataka,KHLL,KETOHALLI,Karnataka,41,7.1
KHLL,KETOHALLI,Karnataka,BID,BIDADI,Karnataka,41,7.5
BID,BIDADI,Karnataka,HJL,HEJJALA,Karnataka,41,6.1
HJL,HEJJALA,Karnataka,KGI,KENGERI,Karnataka,41,10.5
KGI,KENGERI,Karnataka,GNB,JNANA BHARTI HALT,Karnataka,41,3.5
GNB,JNANA BHARTI HALT,Karnataka,NYH,NAYANDAHALLI,Karnataka,41,1.2
JCY,JIND CITY,Haryana,JIND,JIND JN,Haryana,3,3.4
JCY,JIND CITY,Haryana,PPDE,PANDU PINDARA,Haryana,6,5.2
JIND,JIND JN,Haryana,BZO,BARSOLA,Haryana,38,9.2
JIND,JIND JN,Haryana,BSPH,BISHANPUR HARYANA,Haryana,35,6.9
PPDE,PANDU PINDARA,Haryana,SWDE,SIWAHA,Haryana,6,9.0
SWDE,SIWAHA,Haryana,PKDE,PILU KHERA,Haryana,6,4.0
PKDE,PILU KHERA,Haryana,BKDE,BUDHAKHERA,Haryana,6,6.7
BKDE,BUDHAKHERA,Haryana,SXE,SILA KHERI HALT,Haryana,6,5.5
SXE,SILA KHERI HALT,Haryana,SFDE,SAFIDON,Haryana,6,4.8
SFDE,SAFIDON,Haryana,KSDE,KARSINDHU,Haryana,6,6.9
KSDE,KARSINDHU,Haryana,MLDE,MADLAUDA,Haryana,6,7.6
MLDE,MADLAUDA,Haryana,ASAN,ASAN,Haryana,6,7.1
BNJL,BINJHOL HALT,Haryana,NLH,NAULTHA,Haryana,6,4.4
NLH,NAULTHA,Haryana,IRA,ISRANA,Haryana,6,4.7
